単語,重要度,該当文章
ぶら下げる,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
アサノ,0.4341026577822586,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
フミ,0.16737247077215717,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
中傷,0.1406370137563496,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
利益,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
告発,0.15439436270002732,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
居る,0.07933844585324051,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
崩れる,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
引っ越し,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
意向,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
根本,0.18707558273711683,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
沿う,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
為る,0.05995149230802493,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
無い,0.09458609739791385,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
生活,0.16737247077215717,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
経済,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
給与,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
莫大,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
言う,0.19154598893555283,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
訴訟,0.16034012572130932,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
話す,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
誹謗,0.1406370137563496,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
負担,0.2027148225310066,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
費用,0.3519587310303981,つまり浅野文直は給与・生活費・引越し費用（＋誹謗中傷の訴訟費用）を負担するという莫大な経済的利益をぶら下げた上でsioさんに話させていたってことか？ そんなの浅野の意向に沿う形のことしか言えるわけないよね、いよいよ浅野の「告発」が根本から崩れたわけだ ://./xCjKUDiXfA / 
定期,0.6272053905030182,こいつらがやるべきなのは自首定期 / 
自首,0.6272053905030182,こいつらがやるべきなのは自首定期 / 
遣る,0.4617648711713708,こいつらがやるべきなのは自首定期 / 
アサノ,0.2904382646416031,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
フミ,0.33594383094672775,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
保護,0.17660963582006542,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
刑事,0.16797191547336388,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
告発,0.1549473262918877,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
団体,0.17660963582006542,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
成果,0.18774559415703293,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
有る,0.22124021873356542,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
期間,0.18774559415703293,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
決意,0.2034408459066649,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
沈黙,0.2034408459066649,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
為る,0.30083104324169374,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
突入,0.2034408459066649,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
箇月,0.18774559415703293,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
経過,0.4068816918133298,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
表明,0.2034408459066649,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
設立,0.18774559415703293,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
進展,0.2034408459066649,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
青少年,0.18774559415703293,浅野文直君がColaboを刑事告発するための再沈黙期間に突入してから50日が経過したけれど何か成果はありましたか❓ 浅野文直君が青少年保護団体設立の決意表明をしてから4ヶ月が経過したけれど何か進展はありましたか❓ / 
non,0.25055230531149253,正直暇アノンって本人達の世界の中では絶対に負けないんだよね だってどれだけ監査が棄却/却下されても「東京都・監査委員会はナニカグループ❗️」で勝利を収めているし、これからどんなに裁判で敗訴を積み重ねても「司法はナニカグループ‼️」で必勝できるもんね 暇アノンさいきょう！ / 
